PassengerId,Survived,Name,Age,SibSp,Parch,Fare,female,male,Pclass_1,Pclass_2,Pclass_3,Dr,Master,Miss,Mr,Mrs,Nobility,Officer,big_family,small_family,solo,C,Q,S
1,0.0,"Braund, Mr. Owen Harris",22.0,1,0,7.25,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
2,1.0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,1,0,71.2833,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3,1.0,"Heikkinen, Miss. Laina",26.0,0,0,7.925,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,1.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,1,0,53.1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
5,0.0,"Allen, Mr. William Henry",35.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
6,0.0,"Moran, Mr. James",33.0,0,0,8.4583,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
7,0.0,"McCarthy, Mr. Timothy J",54.0,0,0,51.8625,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
8,0.0,"Palsson, Master. Gosta Leonard",2.0,3,1,21.075,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
9,1.0,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,0,2,11.1333,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
10,1.0,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,1,0,30.0708,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
11,1.0,"Sandstrom, Miss. Marguerite Rut",4.0,1,1,16.7,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
12,1.0,"Bonnell, Miss. Elizabeth",58.0,0,0,26.55,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
13,0.0,"Saundercock, Mr. William Henry",20.0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
14,0.0,"Andersson, Mr. Anders Johan",39.0,1,5,31.275,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
15,0.0,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,0,0,7.8542,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
16,1.0,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,0,0,16.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
17,0.0,"Rice, Master. Eugene",2.0,4,1,29.125,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
